CarID, Status, Time, TotalParkingTime
Car 0, start, 2025-04-29 04:39:13, 0
Car 0, leave, 2025-04-29 04:39:23, 0
Car 1, start, 2025-04-29 04:39:24, 0
Car 1, leave, 2025-04-29 04:39:26, 0
Car 2, start, 2025-04-29 04:39:27, 0
Car 2, leave, 2025-04-29 04:39:31, 0
Car 3, start, 2025-04-29 04:39:34, 0
Car 3, leave, 2025-04-29 04:39:36, 0
Car 4, start, 2025-04-29 04:39:41, 0
Car 4, leave, 2025-04-29 04:39:43, 0
Car 5, start, 2025-04-29 04:39:43, 0
Car 5, leave, 2025-04-29 04:39:46, 0
Car 6, start, 2025-04-29 04:39:51, 0
